department_name,broadband_score
VAL-DE-MARNE,34.58
OISE,34.53
HAUTS-DE-SEINE,34.53
PAS-DE-CALAIS,34.42
SEINE-MARITIME,34.39
SEINE-SAINT-DENIS,34.38
ESSONNE,34.36
VAL-D'OISE,34.35
YVELINES,34.33
LA REUNION,34.31
MEUSE,34.29
RHONE,34.26
NORD,34.26
MAYENNE,34.2
AISNE,34.16
EURE,34.16
SEINE-ET-MARNE,34.15
LOIRE,34.09
LOIRET,34.09
TERRITOIRE DE BELFORT,34.07
DOUBS,34.03
GIRONDE,34.01
SOMME,34.0
LOIRE-ATLANTIQUE,34.0
AUBE,34.0
MARNE,33.99
HAUTE-GARONNE,33.96
HAUTE-SAONE,33.94
PARIS,33.94
YONNE,33.93
SARTHE,33.92
EURE-ET-LOIR,33.88
LANDES,33.81
HAUT-RHIN,33.81
BAS-RHIN,33.8
INDRE-ET-LOIRE,33.78
ISERE,33.78
INDRE,33.76
ARDENNES,33.75
MEURTHE-ET-MOSELLE,33.74
CHARENTE-MARITIME,33.72
SAONE-ET-LOIRE,33.69
HERAULT,33.69
COTE-D'OR,33.66
CHARENTE,33.65
VENDEE,33.64
TARN-ET-GARONNE,33.64
LOIR-ET-CHER,33.6
MAINE-ET-LOIRE,33.58
VOSGES,33.57
CORREZE,33.57
BOUCHES-DU-RHONE,33.56
PYRENEES-ATLANTIQUES,33.54
HAUTE-VIENNE,33.54
CHER,33.52
AIN,33.49
HAUTE-CORSE,33.43
CALVADOS,33.42
GARD,33.4
MOSELLE,33.36
HAUTE-MARNE,33.33
VAR,33.32
AVEYRON,33.32
JURA,33.31
LOT,33.29
LOT-ET-GARONNE,33.28
TARN,33.27
CORSE-DU-SUD,33.24
ORNE,33.2
SAVOIE,33.16
CREUSE,33.12
GUADELOUPE,33.08
NIEVRE,33.07
ALPES-MARITIMES,33.06
ARIEGE,33.02
LOZERE,33.01
VAUCLUSE,32.96
PUY-DE-DOME,32.9
DROME,32.89
PYRENEES-ORIENTALES,32.89
AUDE,32.89
HAUTES-PYRENEES,32.86
ALLIER,32.84
ILLE-ET-VILAINE,32.77
ALPES-DE-HAUTE-PROVENCE,32.73
HAUTES-ALPES,32.71
HAUTE-SAVOIE,32.65
VIENNE,32.64
GUYANE,32.6
DEUX-SEVRES,32.58
GERS,32.57
COTES-D'ARMOR,32.56
DORDOGNE,32.55
HAUTE-LOIRE,32.51
MORBIHAN,32.22
CANTAL,32.19
FINISTERE,32.13
ARDECHE,31.98
MANCHE,31.83
MARTINIQUE,31.74
MAYOTTE,28.02
